Barrages_original,Showing_time
不是讲过了么,27.77
大u盘,27.78
2020年回来的,27.905
因为垃圾qlc来了，成本大大降低,27.971
不是流行 是因为固态贵 所以混用 有钱的话你甚至可以在内存装系统,28.424
Super Slow Disk,28.739
RAID0 soha,28.873
s3700 大船路过,29.088
SSD,29.124000000000002
M.2用户在此,29.393
恰饭警告,29.428
IDE串口，还是右侧摇臂,29.549
三星970,29.569000000000003
这不是内存条吗,29.889
同款固态,29.909000000000002
qlc的锅,29.985
qlc大量铺货,30.063000000000002
西数黑盘路过,30.338
贵！！！！！！！！！！！！！！！！！！！,30.399
不是恰饭差评,30.749000000000002
几年前，建兴睿速T9路过,30.791
这固态是金士顿,30.825
很明显，今天恰渣士顿的饭,30.939
T5,31.488000000000003
但是在寿命上就,31.54
只要记得机械装资料 固态装软件系统就行了,31.980999999999998
我觉得是牙膏挤多了,31.988000000000003
2020了,32.016
我全都要,32.119
开机快,32.797
SSD数据不能救,32.92
渣士敦？,33.144
du,33.436
TLC,33.438
内存条的xswl，这是m.2接口的SSD,33.698
M.2,33.705999999999996
是恰饭，金士顿的,33.771
QLC警告,34.118
寿命上就差太多了。。。,34.241
我刚刚看完正片72期……,34.650999999999996
给硬盘里的老师换个房子,35.063
SSD,35.113
Kingston,35.305
ssd,35.485
寿命够你十几年的,35.497
ssd,35.931999999999995
一块钱一G,35.972
sssssssssd,36.101
为何似曾相识,36.191
U need SSD,36.384
可靠性就不行了,36.715
光盘emm,36.982
压倒性优势！军团决斗！,37.029
历史总是惊人的相似,37.272
但是容量来讲 机械目前不易替代,37.321
三丧970evo plus路过,37.425
但是机械硬盘断电能保存更久,37.906
机组原理,38.645
三星970pro路过,38.704
操作系统，组成原理，回形针出一个408系列吧,39.064
ssd XD,39.088
似曾相识？,39.445
炒冷饭警告,39.585
而且还安静,39.614000000000004
这个放过的呀,39.692
这学期刚学完计算机组成原理，看起来不难,40.589
金士顿不是大号U盘？,40.605
霍霍大号U盘的赞助,40.644
没钱买的500g……,40.685
必修二物理 。,40.705
似曾相识,40.785
计算机组成课,40.788000000000004
重了吧,41.188
似曾相似。。。,41.511
ssd,41.692
不是出过类似的吗？,41.848
燕归来,42.028
人类本质,42.225
叫机械叠瓦= =,42.36
SSD,42.69
C.H.S.,42.848
历史总是惊人地相似,43.05
物理必修2的练习题！,43.332
高中数学课本,43.606
计算机组成原理,43.728
这个不是做过一期相似的？,44.208
似曾相识,44.422
哇...这个划盘了吧,44.724
燕子？,44.938
。咯屁，‘,44.995
MVME协议是真的香,45.097
磁头英文写错辣,45.176
这集我看过,45.345
金士顿,45.75
我的d盘是哪个扇区,45.805
Sector: 扇区,46.068999999999996
燕子！,46.21
Deja vu,46.218
三星970evo路过，，刚买完，就降价了，买evod钱足够pro了,46.221000000000004
似曾相识,46.269
飞镖盘,46.326
但是固态坏了就数据彻底没了,46.471000000000004
似曾相识的一期,46.9
woc，三纳米,46.928000000000004
这级是不是看过,47.207
QLC警告,47.456
真的似曾相识。。。,47.908
准确的说扇区不是等角的，所以外圈应该画得密集一些,48.346000000000004
我用饭盘 恰饭盘,48.368
3辣米,48.585
似曾相识,48.773999999999994
有没有磁盘和磁头可分开的硬盘，长期存放不读取的数据就存磁盘里拆下来，再单独买磁盘存新数据,49.542
QLC来了,49.67100000000001
 电梯算法,49.816
寻道,49.943999999999996
机组原理,50.129
三纳米？？,50.339
you need ssd,50.403
吹爆intel p4800x！！！,50.412
丈母娘（形象）,51.788000000000004
黑胶唱片 留声机？,51.967
不是电机驱动，是用一个线圈加强磁铁驱动,52.353
似曾相识的磁盘,52.45
似曾相识,53.17
只有上面的图案和文字动了..,53.207
操作系统原理,53.656000000000006
败者食尘！！！,54.025
这是恰饭，那个是科普,54.851000000000006
这次有恰饭吧,55.225
用不压黄线,55.265
只有上面的图案和文字动了..,55.497
ass ass deep,55.523999999999994
似曾相识,55.813
似曾相识燕归来,55.875
就是3纳米啊！怎么老是有很多人怀疑？,56.945
似曾相识盘归来,57.073
⬅️线圈加磁不还是电机吗…,57.283
似曾相识,57.582
不是讲过吗？再次恰饭？,58.178999999999995
老师让我们复习一下,58.776
头铁,58.946999999999996
燕归来,59.544
机械硬盘磁头到磁盘距离说错，说成纳米了！,59.581
计算机组成原理。。。,59.629
似曾相识。。,59.691
我的机械硬盘延迟几千毫秒,59.926
似曾相识,60.825
似曾相识,60.945
这期不是看过？,61.265
群联打钱,62.645
群联主控,63.348
United Kingstone,63.805
群联！,63.821000000000005
纯逻辑电路,63.931999999999995
金士顿进来打钱,64.185
同志，事务所都是恰饭的,64.592
金士顿给你多少钱我三星加倍,64.763
似曾相识,65.189
金士顿打钱！,65.652
难受的计组,65.882
似曾相识燕归来,66.203
Kingston A1000,66.247
无可奈何花落去,66.541
兄弟，你脱保了，标签撕了,66.705
是渣士顿，wsl,66.945
群联主控,67.028
群联打钱,67.465
呵 人类记录数据的载体记录速度越来越快但寿命也越来越短,67.907
大号u盘,67.922
金士顿打钱,67.922
我的固态硬盘老响,68.49
那请问缓存是干什么的（滑稽）不应该先写入缓存再写回闪存么。。。,69.273
大s黑白配，片都抹了,70.58800000000001
咋这么眼熟啊？,71.05
机械结构磁头和disk的浮动距离一般在10纳米左右，本人研究生课题就是这个相关的,71.405
金屎顿差评,71.532
是线索！快记下！！！,71.928
支付宝到账12w,72.105
M.2甚至写比读快,72.255
渣士顿,74.185
机械硬盘5400转的读写30Mb/s，根本到不了80,74.866
以前也有这一期，文案都一样,74.982
ljjsd,76.547
寿命低咧关键,78.14699999999999
不是Win10，差评,78.307
买了个660p加个盒子，当优盘用用，只要800块,78.388
金士顿打钱,78.453
。,78.602
渣土盾,79.086
买SATA协议的固态=买黄金机械硬盘！,79.363
感觉是恰饭,79.82600000000001
这个回形针有讲过的,79.868
还好都是UEFI,80.057
金士顿,80.263
ssd 1ms,80.28
我，幻光戟，打钱,80.538
ssd我只认三星,81.868
金士顿打钱,81.876
金士顿给你多少钱，我三星也给,82.016
970evoplus开机30秒，自启都禁了，rog主板自检慢……,82.242
买不起,82.25399999999999
渣士顿,82.51299999999999
金士顿,83.208
雷鬼好评,83.745
我机械硬盘15秒就开机了  装了固态要12秒,83.943
快十倍的是Nvme协议的固态，SATA固态快不了那么多，但开机十几秒的是SATA固态，Nvme开机相对慢,84.524
不然这开机动画不白做了啊,84.655
新电脑用机械开机只要8秒,84.693
高品质的内容啊,84.855
就是我家古董电脑2分钟没错了,85.059
这倒是真的,86.462
想加个傲腾,86.484
7秒开机,86.56200000000001
我的就不一样，我的要几分钟,87.24600000000001
我开机用了一年。,87.865
原来如此,88.045
用超小的固态硬盘只存系统文件是不是也能开机很快？很多资源也很少读取但需要长期存放的,88.134
这饭不香,88.61399999999999
微软打钱,88.806
你敢买v300,88.81700000000001
前面970evo开机30秒 我也是,89.145
我机械硬盘开机4分钟，西数固态开机7秒,89.542
几秒这么快吗,90.069
金士顿打钱啊,90.09299999999999
来啦，老金,91.03399999999999
金士顿再次打钱啊,91.065
slc啊,91.305
sdd也不错啊,91.545
等等党最终迎来胜利,91.665
金士顿劝退,91.779
很快，厂商找到了阉割的方法,93.265
我用的浦科特 感觉还好,93.45299999999999
当年花960买了64G的Crucial,93.59200000000001
现在用东芝的固态不错,93.677
4T的固态？不贵才怪,93.76299999999999
恰饭警告,94.24799999999999
金士顿打钱,94.57700000000001
反比例函数,94.829
三星860就4秒开机了,95.31700000000001
tlc,96.45200000000001
slc-dlc-tlc-mlc,96.508
08年上市的MacBook Air就可以选64G固态硬盘,96.551
比如slcmlsctlcqlc,96.725
寿命也越来越烂。。。,96.87799999999999
现在七毛一g,96.92
我家的20秒,97.069
金士顿大号U盘,97.26100000000001
断崖式下跌,97.346
阉割闪存颗粒。。。。最后低端tlc搭配垃圾主控速度竟然不如机械硬盘。。。。,97.449
真就恰饭啊,97.62899999999999
这明明是金条,97.646
用tlc,97.70200000000001
QLC警告,97.833
9秒开,97.835
tlc？qlc？,97.868
QLC警告！,98.177
降价(qlc),98.251
6秒开机,98.714
降价的好方法就是缩水啦,98.89299999999999
QLC颗粒,98.92399999999999
大号U盘金士顿,99.086
金s顿就是骗小白,99.565
SLC、MLC、TLC、QLC,99.632
mlc变tlc变qlc  ,100.226
方法就是SLC到MLC到TLC到QLC的技术进步（tuibu）,100.228
很快找到了低配的方法,100.84200000000001
方法就是偷工减料,101.225
QLC警告,101.40700000000001
QLC警告,101.81200000000001
晶元厂起火警告,101.883
金士顿大号U盘,102.31299999999999
SLC颗粒,102.36399999999999
不推荐买金士顿,102.516
说个简单的例子，你玩游戏你觉得硬盘卡过么？,102.73899999999999
固态必然是更快，但除非你不追求寿命和实用度,102.73899999999999
但是贵啊，而且我一个机械能用十年,102.73899999999999
还有就是如果不是重度发烧友，机械硬盘完全够用,102.73899999999999
美光用浮栅，三星等其他公司用电荷俘获型器件,103.178
给我来一块1T的SLC,103.34700000000001
做编程的除外∧,103.45
讲过了,103.665
我们0.5怎么办,103.675
还是西数的好,103.772
大颗粒,103.786
福山,103.807
福山「手动滑稽」,103.807
还差qlc,103.85799999999999
金士顿真的坑,104.119
我当年买一个240的闪迪固态899不过是MLC,104.17
笔记本都是固态硬盘,104.25399999999999
固态速度快，数据火葬场,104.406
plc,105.32700000000001
似曾相识,105.473
似曾相识燕归来,105.85799999999999
电脑几年一换代，你十年前电脑拿来扫雷呢你,106.09700000000001
SLC造价太高现在企业级都难看到了,106.17299999999999
SLC,106.50299999999999
变了颜色的正片72期……,106.771
金士顿的骇客内存还可以,106.905
大佬,107.40700000000001
配置越低开机越快,107.508
大家好，我是1,107.545
QLC怒赞,107.645
金士顿,107.73100000000001
讲过的,107.785
晕了，9012年了还有人误导普通人用机械就够了，够个锤子啊？而且现在的固态价格特别低，实在没钱就256g固态加机械硬盘,107.928
有1嘛？,108.025
0或1惹,108.303
燕归来,108.605
又来,109.193
方法就是让客户的数据随时说再见,109.266
SLC最安全最快最好,109.27
有1吗？,109.29299999999999
然后寿命就变得越来越短。短命的小家伙们。,109.385
SLC虽然贵，但用着真心舒服,109.71
恰冷饭石锤了,109.863
有一么？,109.891
富山,110.075
SLC好啊，寿命最长，就是贵点,110.538
现在真的是固态好,110.634
有1吗！？,110.788
我是纯1,111.104
颗粒 越来越差，而且一去不复返,111.48299999999999
QLC哭了,111.585
有1吗,112.006
不是回形针出的吧,112.007
3d mlc最可靠。,112.705
燕归来,112.705
诶这个是不是讲过,112.73899999999999
比特小队,112.863
PLC警告,113.035
plc了解一下,113.069
似曾相识,113.304
这个不能说是升级,113.427
眼熟,113.884
垃圾,113.90700000000001
对呀似曾相识。,113.90799999999999
我怎么好像看过,113.90899999999999
越来越垃圾,114.266
固态加机械,114.366
QLC警告,114.385
这是退化，不是进化,114.429
起火警告,114.897
L R部分,115.055
plc都够你用五年以上的,115.167
plc也出了,115.37200000000001
固态硬盘一摔就坏,115.758
三星的好用,115.825
水视频？？,116.10799999999999
恰冷饭,116.134
倒退发展,116.346
海康威视c160前来报到,116.348
我也好像看过,116.42299999999999
好像看过,116.57
这样造成固态硬盘的使用寿命大幅降低,116.62700000000001
ALC？,116.632
容量越来越大，并且性能和寿命越来越短,116.95299999999999
哪有1,117.163
Dlc,117.193
退化退化,117.25200000000001
不不不，这是退化,117.458
但是越来越短,117.656
退化。。。速度变慢，寿命变短,117.74799999999999
这是退化不是进化，qlc能用？怕不是数据不想要了,118.01899999999999
我也觉得,118.054
越来越屑的盘有买的必要吗？,118.23700000000001
PLC也来了,118.25299999999999
日常懵壁,119.005
感觉讲过,119.215
燕,119.359
又看过一遍,120.087
qlc当然能用，肯定是保证了一定寿命才会出货卖给你。一般用户为了性价比选qlc就够了。,120.184
未来将有PLC,120.508
DLC可还行,121.25200000000001
似曾相识,121.62799999999999
这个字读shan？,121.963
吃旧饭？,122.53
好像看过,123.117
看了“柴知道”吧，在知识的海洋里狗刨,123.288
Up没有讲过这个，柴知道那边讲过，你们是不是混淆了,123.546
所以我选MLC,123.54700000000001
退化史,123.60600000000001
QLCj就是垃圾,123.914
看水印，灵魂恰饭,124.281
哪有水印,124.65899999999999
iPhone是tlc来着,124.921
@柴知道,125.18799999999999
QLC就是垃圾,125.948
sata接口。。。。,126.111
就这样，用往期内容水了一半,126.171
东芝硬盘,126.35
500G的固态算甜品级，单位价格低；1T的机械固有成本太高了，贵是正常的,126.76700000000001
降低了价格，也降低了寿命,126.96600000000001
我用的固态银盘就是回形针举例的牌子hhhhhhhc,127.005
今天是Kingston的食堂嘛,127.036
mlc已经买不到了,127.31
但是寿命也降,127.384
渣士顿大号u盘,127.48200000000001
还是买三星吧,127.524
qlc的谁用谁知道,127.60799999999999
柴知道,129.071
金士顿的stat固态就是大号U盘罢了,129.095
恰饭,130.72799999999998
而已？便宜？,131.38299999999998
写入一半，是0.5次,132.325
w不溜c,132.428
以后会有plc吗,133.217
这次是恰饭,133.246
我也觉得好像看过,133.607
金士顿打钱,133.77700000000002
恰饭时间？,133.984
EPROM,134.503
暴力,134.761
-1次 -1次,135.86700000000002
暴力,136.155
看过了,136.52
前面还嫌贵的，以前是上万元的售价,137.342
颗粒几乎不会坏，坏的快的是主控,139.007
恰饭？,139.912
写入一半应该是算半次,141.872
500次…都快一次性了,142.829
强烈建议不要买QLC,143.792
速度快，容易坏，寿命烂,144.27
500？？？？,144.406
QLC并没有1000次,144.535
大部分人一年不超过10词全盘擦写,146.11700000000002
500次……,146.454
而且越来越慢,146.519
好好听讲，整盘次数,148.056
！！！！,148.67
不装满就不会失效了吗,149.246
暴了怎么办,150.139
一般固态没那么容易坏，tlc都够用5年,150.145
然而，写入放大了解一下？,151.049
不装满的是鬼才呀,151.975
卧槽这一句话解答了我多年的疑惑，我把游戏存进去每次打开到底算不算一次擦写,154.85
不装满就没事了啊,155.828
前面的 你时间在流逝,155.852
普通用户写20年都写不满500次,156.267
主控挂得更快,156.995
←你时间没了,157.067
前面的站住，七月加急,157.143
问题是，我固态硬盘用到90%基本上就是最大上限了，不存在写满的情况,157.645
+,159.238
不存在不装满的，只要写入就注定会装满。,159.325
固态硬盘自带的系统会记录每个块的写入次数，每次写入往写入次数少的地方写，所以用到寿终正寝时，每个存储块基本都用完了,159.44899999999998
我来告诉你区块是什么,159.458
不装满不是没事，计算总写入量的,159.517
只要写入就会损耗，不是不装满就行的问题,160.105
说不装满的笑死我了,160.702
说的好，我选择机械硬盘,160.933
那我永远不写满呢？,161.313
某些颗粒还是会照样损耗,162.225
放心吧，往往是主控坏了，颗粒还有一半寿命（手动滑稽）,162.398
话没错，但此“写满”非彼“写满”，,162.686
看过就看过 还一直说,163.395
当下一堆电影又删除一堆电影的时候，就在10年内全报废？,165.114
写入计算的是存储数据量又不是总数据量,165.268
那要是一直存不满呢,165.62
所以说即使硬盘永远没有写满，你的硬盘还是有很多次的擦除次数,165.66400000000002
所以这个说法是错的,165.66400000000002
而存储文件的时候则是将数据优先存入未被分配的区域,165.66400000000002
变成坏坏,165.977
你好坏坏,166.445
提前去世,166.699
讲过啊,167.132
红字你急个球...,167.148
233333333333333333333333333333,168.38
均衡 从万物之间,168.963
固态有一个坏块就算报废了,170.145
不会的,170.584
Gateline-slit,171.108
平衡磨损,171.283
开始恰饭,171.55700000000002
EPPROM,172.132
即WL算法,172.27599999999998
前方暴力预警,172.577
你的小姐姐没了,172.673
木桶效应？,173.149
我用了10年了512gb一次写满都没有,173.485
这里是新货了,174.06099999999998
动态规划dp,174.502
好了动态规划来了,174.892
23333333333333333333333333,174.954
龟龟 怪不得我的d盘删空了还有10g显示有数据,175.34099999999998
来了！,176.308
我的一块三星SSD都7年了，还在用,177.24599999999998
喜欢回形针视频，简单易懂,177.96400000000003
这个就是主控要选好的，好的能延长一定ssd的寿命,178.386
有点像jvm的垃圾回收,178.683
Wear leveling,178.78799999999998
trim,179.11
寿命减少,180.025
2333333333333333333333333333,180.11900000000003
暴力,180.59799999999998
年轻区块,181.827
寻址就需要很复杂,182.04
说DP的是魔鬼,182.351
说DP的，你不觉得这个和引水入城很像么,182.351
？？？？？？？？,182.412
dp?,182.525
这不是动态规划，就是个最小值而已,182.986
那主控的能力就得加强,183.34
厂商早就想好了,183.56
年轻代，年老代?,183.687
暴力,184.083
LRU就行了吧……不用动态规划,184.13400000000001
年轻的区块,184.43200000000002
这期恰主控的饭?,184.46900000000002
flt,184.50799999999998
七月加急名单,185.155
如果没了怎么办,185.745
你怎么知道我要擦哪个区块,186.217
intel toolbox,186.52
这跟jvm分代有毛线关系？说jvm的记得多看几遍书,187.07299999999998
灵 魂 隔 断,187.322
233333333333,187.701
黑QLC真的没脑子，车都有高低配，QLC便宜，小文件读写和普通没区别，怎么就不推荐,187.864
太暴力了,188.52599999999998
暴力！,188.547
前面说DP的，好像贪心就可以呀,188.662
优先队列,189.21400000000003
JVM  GC？,189.574
太厉害啦！,189.84799999999998
脱发区块,190.09
像jvm,190.497
子弹滞销,190.542
转 移 大 法,190.752
jvm,190.763
把字刻在石头上,190.958
妙啊,191.213
暴力 不可取,191.34400000000002
续,191.785
看up视频说的最多的 妙啊,192.044
时间众筹,192.206
卧槽 jvm内存回收机制,192.388
暴力！,192.66299999999998
JVM内存模型,192.737
暴力,192.74900000000002
厉害啊,192.888
为年老的区块续1次,193.157
暴力,193.333
生命汲取,193.71
太暴力了,193.892
秒啊,194.127
年轻带，年老带，JVM?,194.185
妙啊,194.292
jvm GC垃圾清理算法?,194.419
好像jvm的gc技术。,194.428
妙啊,194.541
续,194.574
好厉害那些发明家,194.588
主控牛逼,194.808
妙啊,194.93200000000002
暴力,195.051
妙啊,195.285
这么高级？,195.415
暴力,195.42700000000002
jvm那个是年老代和新生代…,195.548
哪天来讲讲JVM吧哈哈哈,196.00599999999997
いちびょう,196.27
＋1,196.333
暴力,196.482
喵啊啊,196.618
固态硬盘一般都不需要担心闪存的擦着寿命，,196.7
妙啊,196.93099999999998
珍惜你们的评论区,196.956
金士顿打钱！,197.21200000000002
妙啊,197.257
妙啊,197.327
暴力,197.357
Jvm gc机制,197.37400000000002
TRIM 垃圾回收机制,197.37599999999998
闪存寿命没到，主控率先挂掉是固态的常见现象。,197.729
弹幕枪毙,197.78400000000002
暴力,197.78799999999998
JVM,197.924
+1ｓ,197.958
果然年轻还是好啊,198.669
好像jvm的gc技术。,198.78799999999998
＋1s,199.149
暴力,199.438
暴力,199.65
这个不担心寿命，就,200.02
这个不担心寿命，就真的是恰饭了,200.02
暴力,201.37599999999998
妙啊,201.97799999999998
妙,201.988
谢谢金士顿，让我想去买一块三星的ssd,202.83900000000003
我选择pm981a,203.06799999999998
恰饭,203.451
P3608无所畏惧,203.453
讲的好透彻,203.71900000000002
该来的总会来,203.787
晚    饭,203.84799999999998
原来是他,203.896
恰          饭,204.11
1TB...,204.67
要恰饭的嘛,205.095
天哪!人类的智慧,205.172
让他恰,205.97400000000002
这个饭恰得舒服,206.02
秒啊,206.364
大号U盘,206.74200000000002
一天多了3w粉你真的牛逼,207.37900000000002
恰饭石锤,207.42700000000002
恰饭,207.94
恰饭,208.028
买不起1tb,208.53400000000002
恰饭时间,208.99200000000002
要素察觉,209.08700000000002
恰饭,209.50799999999998
也就是说，快买金士顿的,209.713
1t才能写600t，明摆的垃圾qlc啊,209.745
说NM的JVM,209.832
我吃饱了！,209.84400000000002
格式化呢,210.06799999999998
恰饭,210.465
恰饭,210.537
而且浦科特5年质保,212.757
你那个是主控坏了,212.757
这是个大号U盘，主控不好,214.007
企业级1T的轻轻松松6PB,215.585
Mac玩游戏，讲究,216.09099999999998
这都是高端固态才有的，普通盘别想了,216.195
全战三国！,216.301
哈哈哈百g游戏FF15,216.574
Mac可以玩全面战争的,216.72799999999998
怎么装？,216.942
啊全战,217.51
最终幻想15真的是大的吓人,217.517
注意网速,218.047
macos系统的真的能玩这个吗,218.502
我觉得主控会比颗粒先到期,218.57299999999998
弹幕礼仪都被吃了,218.81099999999998
ff15 fc5 全面战争 打钱,218.877
为啥你的全面战争是60g，我的是15g,219.09400000000002
明白了 这就去买三星的固态硬盘,219.128
我现在一心只想匡扶汉室……,219.162
丢人ff15，你为什么这么大,219.227
渣士顿,219.33
够了够了,219.668
最终幻想15好评,219.8
渣士顿,219.855
说恰饭脑子有坑？不看开头？,220.305
好的,220.995
我吃饱了这样干,220.99599999999998
但是会变慢,221.08700000000002
恰饭时间,221.362
"h:?KJLM>< ""gghggfgggjgggggggggggggggjgjgjgjgjgjgjgjgjgjgggggggggg/gggggggggggggggggggggggggg./",221.987
金士顿打钱,222.11599999999999
但是有写入放大,222.253
电脑都炸了，硬盘还没坏,223.045
然后主控先挂了,223.34099999999998
海康威视10年！,223.625
太形象了,223.695
8年，电脑都坏了...,224.34400000000002
汉室的带我一个,224.608
数据没了怎么修,225.77
硬盘可以保修   数据不行,225.859
老子要的不是保修，是数据安全性，固态硬盘坏了数据恢复不了啊,226.128
海康威视10年质保！,226.676
恰饭,226.793
海康10年。,226.94799999999998
我选择西数730,227.405
海康威视10年,227.61700000000002
海康10年,227.702
600次并不多，而且要考虑写入放大，视频没有细讲，只顾着推销了,227.831
海康威视10年质保,228.50400000000002
海康威视10年质保,229.145
英特尔终身嘿嘿,230.645
敢买五年十年实数牛逼,230.937
5年10万公里？,231.868
那我就放心了,232.165
猛冲！,232.358
久 等 了,232.382
小白字,232.47299999999998
我有那么闲吗？,232.50400000000002
猛 冲,232.75900000000001
恰qlc烂钱？,232.78900000000002
海康威视牛逼！,233.305
渣屎顿能达到800?,234.203
嘤嘤嘤,234.395
爆炸,234.912
600次，看起来多，实际根本不是那么回事,234.91400000000002
等于没有保修,235.69299999999998
重点不是保修，是数据啊啊，数据无价,237.19299999999998
金士顿进来打钱,239.479
我去我家机械硬盘大概有50dB噪音,240.963
RAID0了解一下,241.287
我家里面的电脑就有这种声音，还以为是风扇出问题了，没想到是这个的声音,242.385
猝不及防的广告,243.21
磕碰到就坏了,243.804
和车一样啊,244.49
垃圾叠瓦,245.011
起飞飞飞飞飞飞飞飞飞飞,245.983
机械盘开了壳就等于报废了,246.541
数据重要就多低冗余式备灾 不做就是不重要,247.021
但数据企业还是机械盘为主,247.299
之前的描述叫挤牛奶,248.011
出现了白嫖王,248.05200000000002
哈哈哈哈哈哈难受啊,248.13099999999997
2333333,248.454
91莱先生,248.545
老莱,248.921
是你，加拿大白嫖王2333333,249.207
老莱哈哈哈哈哈哈,249.32299999999998
文案好棒ヾ ^_^♪,249.49200000000002
加拿大白嫖王,249.824
加拿大白嫖王可还行,250.727
哈哈哈哈哈哈哈哈哈哈白嫖王,251.484
噪音真的烦,251.55900000000003
这不是91莱先生么,252.18599999999998
机械硬盘坏了可以数据恢复，ssd坏了数据彻底完蛋,252.785
拖拉机,253.6
哇。。你拿机械去和固态比数据安全开玩笑呢,254.137
那么移动硬盘又是怎么回事呢?,254.658
但是一旦损坏机械能救回来固态就去求上帝吧,255.82
然而云服务商主要是机械盘,256.145
固态温度太高也是会完蛋的，而且固态不如机械抗造,256.189
我上一个电脑就这么报废的,256.408
谁丢的东西,256.57099999999997
噪音破坏机械硬盘数据,256.968
2333333,258.02
